User ID,Username,Role,Action,Timestamp,IP Address
14,aakash,admin,Login,2025-01-09 00:00:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 00:00:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 00:00:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 00:00:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 00:00:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 00:15:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 00:41:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 00:43:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 00:52:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 00:58:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 01:00:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 01:02:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 01:17:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 01:17:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 01:47:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 02:02:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 02:07:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 02:08:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 02:17:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 02:41:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 02:43:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 02:49:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 02:55:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 02:59:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 03:01:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 03:23:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 03:34:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 03:35:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 03:49:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 03:50:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 04:00:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 04:03:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 04:11:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 04:12:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 04:13:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 04:44:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 04:45:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 04:49:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 04:50:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 05:00:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 05:04:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 05:18:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 05:34:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 05:52:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 05:58:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 06:02:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 06:22:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 06:29:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 06:34:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 06:38:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 06:45:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 06:59:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 07:06:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 07:10:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 07:12:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 07:27:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 07:39:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 07:41:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 07:43:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 07:50:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 07:59:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 08:05:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 08:14:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 08:17:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 08:39:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 09:06:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 09:20:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 09:38:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 09:43:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 09:46:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 09:51:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 09:53:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 09:59:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 10:01:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 10:06:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 10:10:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 10:17:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 10:51:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 10:56:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 11:01:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 11:16:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 11:19:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 11:28:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 11:33:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 11:45:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 11:47:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 11:52:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 11:56:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 11:58:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 12:07:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 12:14:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 12:16:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 12:28:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 12:32:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 12:41:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 13:02:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 13:05:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 13:33:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 13:35:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 13:36:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 13:39:00,127.0.0.1
18,kiran,scrum master,Login,2025-01-09 13:49:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 13:55:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 14:07:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 14:09:00,127.0.0.1
18,kiran,scrum master,Logout,2025-01-09 14:46:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 14:57:00,127.0.0.1
14,aakash,admin,Logout,2025-01-09 14:59:00,127.0.0.1
17,abhinav,team member,Login,2025-01-09 15:14:00,127.0.0.1
19,kaushik,team member,Login,2025-01-09 15:28:00,127.0.0.1
19,kaushik,team member,Logout,2025-01-09 15:33:00,127.0.0.1
16,sinchina,product owner,Login,2025-01-09 15:39:00,127.0.0.1
17,abhinav,team member,Logout,2025-01-09 15:44:00,127.0.0.1
16,sinchina,product owner,Logout,2025-01-09 15:57:00,127.0.0.1
14,aakash,admin,Login,2025-01-09 16:15:00,127.0.0.1
